epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1222,1.17024,3.47396,1.09974,0.00226,0.13018,0.04072,0.03558,0.6425,3.5351,0.89222,0.000404412,0.000404412,0.000404412
2,64.3182,1.02285,2.42466,1.07858,0.22661,0.13876,0.33353,0.24099,0.62151,2.66565,0.90503,0.000780435,0.000780435,0.000780435
3,89.5086,1.0547,2.02774,1.12328,0.42153,0.49297,0.46935,0.37798,0.66453,2.06877,0.9412,0.00111521,0.00111521,0.00111521
4,121.74,1.03458,1.6682,1.11054,0.51435,0.78396,0.7421,0.6298,0.62642,1.52064,0.94965,0.00106437,0.00106437,0.00106437
5,147.342,0.93475,1.5345,1.07719,0.684,0.89613,0.75,0.65855,0.56642,1.28789,0.89723,0.0010025,0.0010025,0.0010025
6,177.04,0.9601,1.44299,1.10801,0.76878,0.86701,0.87079,0.74023,0.65399,1.16558,0.94054,0.000940625,0.000940625,0.000940625
7,202.138,0.95947,1.30788,1.09768,0.79112,0.93289,0.88058,0.79089,0.53799,1.15957,0.91339,0.00087875,0.00087875,0.00087875
8,229.059,0.88617,1.31516,1.09054,0.90101,0.87673,0.92268,0.82548,0.555,1.02888,0.91076,0.000816875,0.000816875,0.000816875
9,253.965,0.90269,1.13838,1.06371,0.89643,0.92245,0.92948,0.84149,0.55224,0.95174,0.89833,0.000755,0.000755,0.000755
10,280.028,0.79926,1.09399,1.0327,0.95595,0.94037,0.9541,0.85538,0.52607,0.83039,0.87643,0.000693125,0.000693125,0.000693125
11,306.808,0.76202,1.14019,1.00008,0.90724,0.96539,0.94366,0.85916,0.47946,1.02889,0.87206,0.00063125,0.00063125,0.00063125
12,332.612,0.73324,1.11026,1.00272,0.944,0.94101,0.94768,0.86708,0.4516,0.80521,0.85842,0.000569375,0.000569375,0.000569375
13,358.369,0.72763,1.01778,0.99454,0.95244,0.96219,0.94721,0.87296,0.43885,0.74048,0.84913,0.0005075,0.0005075,0.0005075
14,383.826,0.70332,1.03706,0.97271,0.94992,0.95647,0.94491,0.87257,0.42852,0.80344,0.85884,0.000445625,0.000445625,0.000445625
15,415.322,0.68285,0.9934,0.96082,0.95258,0.9595,0.94722,0.88579,0.4182,0.78725,0.85489,0.00038375,0.00038375,0.00038375
16,441.569,0.73762,0.98438,0.99359,0.95161,0.96601,0.94478,0.89669,0.40998,0.77037,0.8597,0.000321875,0.000321875,0.000321875
17,471.383,0.68288,0.97431,0.9961,0.95483,0.96601,0.94651,0.89386,0.39999,0.78744,0.85816,0.00026,0.00026,0.00026
18,499.887,0.64138,0.94625,0.97257,0.95584,0.96601,0.94898,0.90211,0.38319,0.75656,0.85165,0.000198125,0.000198125,0.000198125
19,526.036,0.68429,0.99294,0.96268,0.95262,0.96601,0.95044,0.90496,0.38373,0.73702,0.84894,0.00013625,0.00013625,0.00013625
20,551.539,0.65779,0.93314,0.95024,0.95316,0.96601,0.95228,0.91121,0.38459,0.73008,0.84909,7.4375e-05,7.4375e-05,7.4375e-05
